ID,Name,HP,AlertRange,AttackRange,Salary,Attack,Defence,MoveSpeed,AttackSpeed,PrefabID,IconID
INT,STRING,INT,INT,INT,INT,INT,INT,FLOAT,FLOAT,INT,INT
,,,,,,,,,,,
100010,新手LvL1,100,10,3,10,5,5,3,1,1,1
100011,新手LvL2,120,15,3,15,10,10,3,0.9,1,1
100012,新手LvL3,150,20,3,20,15,15,3,0.85,1,1
100013,新手LvL4,180,25,4,25,20,20,4,0.8,1,1
100014,新手LvL5,200,30,4,30,25,25,4,0.75,1,1
100015,新手LvL6,260,35,4,35,30,30,4,0.7,1,1
100016,新手LvL7,300,40,5,40,35,35,5,0.65,1,1
100017,新手LvL8,400,45,5,45,40,40,5,0.6,1,1
100018,新手LvL9,500,50,5,50,45,45,5,0.5,1,1
